,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
4 games on day 1 of data tracking;  so begins an epic journey :D,6/15/20,"Reese / Krenko, Mob Boss",Burn,"Greg / Nekusar, the Mindrazer","John / Muldrotha, the Gravetide","Reese / Krenko, Mob Boss","Brendan / Zaxara, the Exemplary","Andrew / Kalamax, the Stormsire",
,6/15/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,Reese / The Ur-Dragon,"Greg / Nekusar, the Mindrazer","Andrew / Xantcha, Sleeper Agent","Brendan / Zaxara, the Exemplary","John / Muldrotha, the Gravetide",
,6/15/20,"Andrew / Kalamax, the Stormsire",,Reese / The Ur-Dragon,"John / Nicol Bolas, the Ravager","Greg / Aurelia, the Warleader","Andrew / Kalamax, the Stormsire","Brendan / Yarok, the Desecrated",
,6/15/20,"Alex / Inalla, Archmage Ritualist",Combo,"Andrew / Estrid, the Masked","John / Nicol Bolas, the Ravager","Greg / Nekusar, the Mindrazer",Reese / The Ur-Dragon,"Alex / Inalla, Archmage Ritualist","Brendan / Ramos, Dragon Engine"
,6/18/20,"Greg / Aurelia, the Warleader",Mid-Range Combat,"Greg / Aurelia, the Warleader","Alex / Inalla, Archmage Ritualist","Reese / Krenko, Mob Boss","Phil / Yuriko, the Tiger's Shadow","Brendan / Zaxara, the Exemplary","John / Muldrotha, the Gravetide"
,6/20/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,"Nolan / Jegantha, the Wellspring","Brendan / Zaxara, the Exemplary","Reese / Krenko, Mob Boss",,,
,6/20/20,"Reese / Krenko, Mob Boss",Burn,"Nolan / Jegantha, the Wellspring","Reese / Krenko, Mob Boss","Brendan / Zaxara, the Exemplary",,,
,6/23/20,Brendan / Elsha of the Infinite,Combo,"Phil / Yuriko, the Tiger's Shadow",Reese / The Ur-Dragon,"Nolan / Jegantha, the Wellspring",Brendan / Elsha of the Infinite,,
,6/23/20,Brendan / Elsha of the Infinite,Combo,"Nolan / Jegantha, the Wellspring",Reese / The Ur-Dragon,Brendan / Elsha of the Infinite,,,
,6/28/20,Brendan / Elsha of the Infinite,Combo,Brendan / Elsha of the Infinite,"Greg / Aurelia, the Warleader","Reese / Krenko, Mob Boss",,,
,7/29/20,"Brendan / Xenagos, God of Revels",Mid-Range Combat,Alex / Zedruu the Greathearted,"Brendan / Xenagos, God of Revels",Reese / The Ur-Dragon,,,
,7/29/20,Reese / The Ur-Dragon,Mid-Range Combat,Alex / Zedruu the Greathearted,"Brendan / Xenagos, God of Revels",Reese / The Ur-Dragon,,,
,7/29/20,"Brendan / Xenagos, God of Revels",Mid-Range Combat,Alex / Zedruu the Greathearted,"Brendan / Xenagos, God of Revels",Reese / The Ur-Dragon,,,
,7/29/20,"Reese / Volrath, the Shapestealer",Combo,Alex / Zedruu the Greathearted,"Brendan / Pir, Imaginative Rascal + Toothy, Imaginary Friend","Reese / Volrath, the Shapestealer",,,
,8/13/20,"Brendan / Zaxara, the Exemplary",Mid-Range Combat,Reese / The Ur-Dragon,"Brendan / Zaxara, the Exemplary","Greg / Freyalise, LLanowar's Fury",,,
,8/13/20,"Brendan / Xenagos, God of Revels",Mid-Range Combat,"Brendan / Xenagos, God of Revels","Greg / Freyalise, LLanowar's Fury","Alex / Mogis, God of Slaughter",Reese / The Ur-Dragon,,
,8/13/20,Reese / The Ur-Dragon,Mid-Range Combat,"Greg / Freyalise, LLanowar's Fury",Reese / The Ur-Dragon,"Alex / Mogis, God of Slaughter","Brendan / Yarok, the Desecrated",,
,8/16/20,"Reese / Varina, Lich Queen",,"Greg / Freyalise, LLanowar's Fury","Phil / Kethis, the Hidden Hand","Alex / Mogis, God of Slaughter","Brendan / Xenagos, God of Revels","Reese / Varina, Lich Queen",
